label,epoch,probe,param,mse
fft,21,attentive,alpha,0.028310632333159447
fft,1,attentive,zeta,0.8822687864303589
fft,3,attentive,zeta,0.584693431854248
fft,5,attentive,zeta,0.31630903482437134
fft,7,attentive,zeta,0.21160036325454712
fft,9,attentive,zeta,0.1673659384250641
fft,11,attentive,zeta,0.14075028896331787
fft,13,attentive,zeta,0.14747944474220276
fft,15,attentive,zeta,0.14368771016597748
fft,17,attentive,zeta,0.1294056624174118
fft,19,attentive,zeta,0.14073622226715088
fft,21,attentive,zeta,0.13747242093086243
cnn_attn,1,linear,mean,0.821881890296936
cnn_attn,3,linear,mean,0.685201108455658
cnn_attn,5,linear,mean,0.48075270652770996
cnn_attn,7,linear,mean,0.34121084213256836
cnn_attn,9,linear,mean,0.27445751428604126
cnn_attn,11,linear,mean,0.24699264764785767
cnn_attn,13,linear,mean,0.23240773379802704
cnn_attn,15,linear,mean,0.21076974272727966
cnn_attn,17,linear,mean,0.20672030746936798
cnn_attn,19,linear,mean,0.20825356245040894
cnn_attn,1,linear,alpha,0.7838524580001831
cnn_attn,3,linear,alpha,0.5457659363746643
cnn_attn,5,linear,alpha,0.33181026577949524
cnn_attn,7,linear,alpha,0.2046470046043396
cnn_attn,9,linear,alpha,0.09860046952962875
cnn_attn,11,linear,alpha,0.05792267620563507
cnn_attn,13,linear,alpha,0.04270050674676895
cnn_attn,15,linear,alpha,0.040104940533638
cnn_attn,17,linear,alpha,0.0512838289141655
cnn_attn,19,linear,alpha,0.05589013919234276
cnn_attn,1,linear,zeta,0.8599115014076233
cnn_attn,3,linear,zeta,0.8246363401412964
cnn_attn,5,linear,zeta,0.6296952366828918
cnn_attn,7,linear,zeta,0.47777464985847473
cnn_attn,9,linear,zeta,0.45031464099884033
cnn_attn,11,linear,zeta,0.4360625743865967
cnn_attn,13,linear,zeta,0.42211490869522095
cnn_attn,15,linear,zeta,0.3814345598220825
cnn_attn,17,linear,zeta,0.36215677857398987
cnn_attn,19,linear,zeta,0.3606169521808624
cnn_attn,1,knn,mean,0.753567636013031
cnn_attn,3,knn,mean,0.6685867309570312
cnn_attn,5,knn,mean,0.5243383646011353
cnn_attn,7,knn,mean,0.3965489864349365
cnn_attn,9,knn,mean,0.30407655239105225
cnn_attn,11,knn,mean,0.2553209960460663
cnn_attn,13,knn,mean,0.22160008549690247
cnn_attn,15,knn,mean,0.20880287885665894
cnn_attn,17,knn,mean,0.1843348890542984
cnn_attn,19,knn,mean,0.21168549358844757
cnn_attn,1,knn,alpha,0.701195478439331
cnn_attn,3,knn,alpha,0.5960263609886169
cnn_attn,5,knn,alpha,0.3338168263435364
cnn_attn,7,knn,alpha,0.16591735184192657
cnn_attn,9,knn,alpha,0.07967407256364822
cnn_attn,11,knn,alpha,0.0504695326089859
cnn_attn,13,knn,alpha,0.055465321987867355
cnn_attn,15,knn,alpha,0.049387313425540924
cnn_attn,17,knn,alpha,0.043852727860212326
cnn_attn,19,knn,alpha,0.048542678356170654
cnn_attn,1,knn,zeta,0.8059397339820862
cnn_attn,3,knn,zeta,0.7411471009254456
cnn_attn,5,knn,zeta,0.7148600816726685
cnn_attn,7,knn,zeta,0.6271805763244629
cnn_attn,9,knn,zeta,0.5284790992736816
cnn_attn,11,knn,zeta,0.4601724147796631
cnn_attn,13,knn,zeta,0.3877348303794861
cnn_attn,15,knn,zeta,0.36821842193603516
cnn_attn,17,knn,zeta,0.32481706142425537
cnn_attn,19,knn,zeta,0.3748283088207245
cnn_attn,1,attentive,mean,0.534544363617897
cnn_attn,3,attentive,mean,0.2155667059123516
cnn_attn,5,attentive,mean,0.13875738717615604
cnn_attn,7,attentive,mean,0.10721035674214363
cnn_attn,9,attentive,mean,0.08157659322023392
cnn_attn,11,attentive,mean,0.07466526422649622
